project_id,state_name,project_name,project_type,investment_inr_cr,cabinet_approval_date,status_2026_05_01,lead_company,subsidy_pct_centre,subsidy_pct_state,pib_prid,pib_url,notes,data_source,retrieval_date
ISM_001,Gujarat,Micron Semiconductor ATMP (Sanand),ATMP,22516,2023-06-15,Operational,Micron Technology,50,20,1983128,https://www.pib.gov.in/PressReleasePage.aspx?PRID=1983128,First ISM-approved unit; commercial production began 28 Feb 2026,PIB_press_releases_ISM,2026-05-01
ISM_002,Gujarat,Tata Electronics PSMC Fab (Dholera),Fab,91000,2024-02-29,Under_Construction,Tata Electronics + PSMC (Taiwan),50,20,2010132,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2010132,India's first commercial silicon CMOS fab; 28-110nm logic and power; first chip targeted late 2026,PIB_press_releases_ISM,2026-05-01
ISM_003,Assam,"Tata Semiconductor Assembly & Test (TSAT, Jagiroad)",OSAT_ATMP,27000,2024-02-29,Under_Construction,Tata Electronics,50,40,2010132,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2010132,Northeast India's first semiconductor unit; flip-chip + ISIP packaging,PIB_press_releases_ISM,2026-05-01
ISM_004,Gujarat,CG Semi (CG Power + Renesas + Stars Microelectronics),OSAT_ATMP,7600,2024-02-29,Pilot_Operational,CG Power,50,40,2010132,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2010132,G1 pilot inaugurated 28 Aug 2025; commercial production targeted 2026,PIB_press_releases_ISM,2026-05-01
ISM_005,Gujarat,Kaynes Semicon (Sanand),OSAT,3307,2024-09-02,Operational,Kaynes Technology,50,40,2050859,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2050859,Inaugurated 31 March 2026; capacity 60 lakh chips/day,PIB_press_releases_ISM,2026-05-01
ISM_006,Uttar Pradesh,"India Chip Pvt Ltd (HCL-Foxconn JV, Jewar)",OSAT,3706,2025-05-14,Under_Construction,HCL Group + Foxconn,50,100,2128605,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2128605,Display driver chips; 20K wafers/month; groundbreaking 21 Feb 2026,PIB_press_releases_ISM,2026-05-01
ISM_007,Odisha,SiCSem Compound Semiconductor Fab + ATMP (Bhubaneswar),Compound_SiC_Fab_ATMP,2067,2025-08-12,Under_Construction,SiCSem (Archean Chemicals + Clas-SiC UK),50,30,2155456,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2155456,India's first commercial SiC fab; 60K SiC wafers/yr; groundbreaking 1 Nov 2025,PIB_press_releases_ISM,2026-05-01
ISM_008,Odisha,3D Glass Solutions / HIPSPL Advanced Packaging (Bhubaneswar),3D_Glass_Packaging,1944,2025-08-12,Under_Construction,3D Glass Solutions Inc. + HIPSPL,50,30,2155456,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2155456,India's first 3D glass-substrate packaging unit; groundbreaking 19 Apr 2026,PIB_press_releases_ISM,2026-05-01
ISM_009,Punjab,CDIL Mohali Brownfield Expansion,Discrete_Semiconductors,117,2025-08-12,Approved,Continental Device India Ltd (CDIL),50,0,2155456,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2155456,"Si/SiC MOSFETs, IGBTs, Schottky diodes; brownfield (existing facility expansion)",PIB_press_releases_ISM,2026-05-01
ISM_010,Andhra Pradesh,ASIP Technologies + APACT Co. (South Korea),OSAT_SiP,468,2025-08-12,Approved,ASIP Technologies + APACT (Korea),50,60,2155456,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2155456,"96M units/yr; mobile, set-top box, automotive applications",PIB_press_releases_ISM,2026-05-01
